OM,IN,W,A,EC
238327744.59054503,-3248.4835924575973,-238536194.3520806,701.5622243240834,-345.17110303477136
-303300468.13788223,5747.852624998115,303818899.18465406,1872.3131131823948,-1352.3988130599153
313793053.6742034,-4289.492046027304,-314070562.8705919,926.3908569244128,-457.37191226232625
-377223932.6590422,7142.20815066661,377866909.65889853,2334.005659951534,-1683.0205918172587
378590024.34745294,-5184.4462916514,-378927104.28978944,1119.6848332310121,-553.9771979504825
-438696446.1370476,8300.959568392944,439442781.8395285,2718.598530683263,-1958.0957222767136
430920873.87370867,-5908.494294866543,-431306377.6470971,1276.0738143209014,-632.2997123260725
-485976198.7386162,9191.288786795218,486801781.496991,3015.1802329048114,-2169.8267201369226
469254212.27120167,-6440.426438844855,-469675570.5163634,1390.973421647253,-690.0402178463978
-517632457.8454646,9786.266657546674,518510781.7042824,3214.7630805640683,-2311.8033133425392
492370146.5385085,-6763.300255636684,-492813645.14379394,1460.720311871422,-725.3552571083831
-532589343.2649331,10065.676912165733,533492111.2759803,3310.558245742679,-2379.198595013026
499399217.6620713,-6864.9811538659515,-499850311.96699077,1482.689109620475,-736.9159882640952
-530162265.4235095,10016.701056051681,531060053.6710346,3298.205505435434,-2368.9324736546846
489853924.42548704,-6738.581691016061,-490297583.39816165,1455.3874751991887,-723.9562146228535
-510085802.7244307,9634.441258362658,510948770.5220791,3175.950025009207,-2279.7969261964313
463651725.0252193,-6382.784018031695,-464072797.718006,1378.5259236856857,-686.3079281415937
-472531961.7960721,8922.26133899022,473330591.6396837,2944.759467149638,-2112.53834296472
421128576.9273448,-5802.0323600928195,-421512172.78724384,1253.0596200804987,-624.4229132331473
-418117969.79225034,7891.929980142027,418823819.4359311,2608.3760539063387,-1869.893107042936
363042288.42684275,-5006.585383532881,-363374162.1438356,1081.1998861549366,-539.3793132753063
-347902990.0343044,6563.554751142071,348489437.8650995,2173.2996573951204,-1556.5736915916161
290565192.5961935,-4012.421453674763,-290832123.84122795,866.3939481481647,-432.8723524292054
-263373419.35209253,4965.30068747764,263816383.86296588,1648.6996903290935,-1179.2037018236688
205265923.64815888,-2840.9936100923705,-205456081.69087657,613.2721972371512,-307.1888568234933
-166416721.38163638,3132.8925185006824,166695335.38703877,1046.255360994395,-746.2016369307884
109080351.17880891,-1518.8347470210952,-109183634.43220934,327.56309666195517,-165.1655939567916
-59284049.73371096,1108.905709691448,59381270.49761216,379.9258087309188,-267.6144864672048
4272035.8012645785,-77.01788186163247,-4280376.608711997,15.976752271988639,-10.131924055536937
55457764.74262372,-1058.142927130326,-55554627.31324731,-334.3464372246947,245.09629360452
-106617140.0062151,1449.5196766838988,106709514.47078584,-313.9409410230529,154.16231374464184
174983974.39386472,-3314.888005369735,-175282827.79597685,-1078.9932333496931,779.3124824490752
-220825203.50696245,3022.775193247772,221021562.53467822,-653.9807658663857,323.63230071562623
296278232.4667611,-5604.369401063334,-296781884.18359494,-1835.2325105262214,1321.555180878391
-335435956.40392154,4602.585584040171,335736916.4345936,-995.4656208132636,493.95532007252496
416206000.66549987,-7867.419058339911,-416911965.04236335,-2583.524758652287,1857.8127038904179
-447450966.8784409,6147.618029202756,447854407.46427333,-1329.4644874765734,660.6772303811795
531593314.70961326,-10044.148225627385,-532493752.9580643,-3304.063598476461,2373.8925804882124
-553865959.821761,7616.422406683998,554367009.1590372,-1647.0197944677893,819.3257737577027
639308961.6300789,-12075.498390765213,-640390760.5199021,-3977.2883493379463,2855.788966251802
-651749688.3560151,8968.519185762305,652340780.9856834,-1939.3824781319045,965.5278862402631
736347962.2354116,-13904.815962565879,-737592953.4408883,-4584.40542165848,3290.0560281174357
-738323221.2646134,10165.494245108539,738994228.6078933,-2198.2485851733286,1095.1279433594118
819914122.952531,-15479.408581268632,-821299441.2589728,-5107.90460843434,3664.177320702506
-811037486.2759833,11172.070850079248,811775918.7322505,-2415.9909920287655,1204.3037269943782
887499360.9888628,-16752.03997773169,-888997935.733085,-5532.055957724472,3966.920904153573
-867646887.7598014,11957.128696422087,868438165.0451586,-2585.8797082358096,1289.6768524815927
936957531.4492728,-17682.320165574365,-938538701.6982771,-5843.372923557554,4188.6699855291345
-906276836.0396432,12494.63996836586,907104620.4585719,-2702.284296384907,1348.4144090597836
966570532.8563808,-18237.94940808788,-968200773.1369071,-6031.027904713404,4321.719164637193
-925483118.549145,12764.493815102112,926329703.9509355,-2760.852227173984,1378.3187142268139
975104613.6063337,-18395.776851754592,-976748353.5167396,-6087.207143291799,4360.52698708693
